id,text
S50,"<p>The data sources that analysts rely upon to generate reporting are constantly changing (S100). As situations evolve, new facts arise, and old information is augmented at an extremely fast pace (S101). In order for a TLDR to provide utility, it must be able to adapt just as quickly as the underlying data does (S102). Taking into account when data was generated is important in ensuring that analysts are receiving the most up to date facts and are not being fed outdated information (S103). In this section we explore the established technique SAGA and propose potential methods of incorporating temporality into a RAG system (S104).</p>"
S51,<p>Critical Challenge 2.C Develop summarization methods to focus on new content in a changing corpus and provide the user with an updated summary (S105). Scope: long-term  (S106).</p>
S52,"<p>This section will introduce SAGA, a technique that extends any similarity function on elements (items) to a set (S107). Suppose we define a similarity function between two items, for example, two sentences or documents (S108). The similarity function could be the cosine score between the bag of word counts or some continuous embedding of the sentences or documents (S109). SAGA gives an algorithm to promote such a similarity score to collections of sentences or documents (S110). This SAGA score can then be used to cluster the items (S111). See Appendix B for further details on SAGA and its application (S112).</p>"
S53,"<p>SAGA has the potential to be used to focus term weights on new information (S113). The update summarization task (critical challenge 2.C) is one opportunity to employ SAGA (S114). SAGA is a very general idea and could be used for either a simple bag of words model or word, sentence, or topic embeddings (S115). SCADS will have access to C code for computing SAGA similarities as well as examples where others have used SAGA in conjunction with word embeddings (S116).</p>"
S55,<p>Question 2.3a Can SAGA be used to produce summaries which focus on new information in a temporal corpus? Scope: short-term   (S117).</p>
S56,"<p>RAG typically does not incorporate temporality into its responses by default, but with some adjustments to the vector store and retrieval methods we can favor documents that are more recent (S118). Work has been done to incorporate temporal elements into retrieval-augmented pipelines [8], notably through a re-ranker function (S119). Further investigation into methods of time-aware retrieval would be useful in ensuring that the documents being used to generate responses contain the most up to date information (S120).</p>"
S58,<p>Question 2.3b How can a RAG pipeline take into account the recency of documents when retrieving and generating responses? Scope: medium-term  (S121).</p>
S60,<p>2.4 Automatic Evaluation for Factuality and Benefit (S122).</p>
S61,<p>Critical Challenge 2.D Develop a technique to apply automatic fact-checking to abstractive summaries (S123). Scope: medium-term   (S124).</p>
S62,"<p>Abstractive summaries are known to suffer from hallucinations, or statements that are not supported by the text (S125). In some cases these statements are false and in other cases there is simply insufficient evidence in the document to support the claim in the summary (S126). Previous research has proposed many tools to fact-check based on automatic question and answering systems as well as textual entailment (S127).</p>"
S63,"<p>Early work in extractive summarization used rewrites and anaphora resolution methods to improve readability and remove ambiguity [9] (S128). Current abstractive methods generally produce a fluent text which is rarely ambiguous but may not be factual (S129). Many of these errors result from using the wrong entity, e.g., the name, organizations, date, etc (S130). Even large language models, such as those produced by OpenAI, may have an alarming error rate of 20% or more [10] (S131). Although, very recently, a group of researchers from Stanford and Columbia Universities found that a fine-tuned smaller model can produce summaries with a much lower error rate, perhaps as low as 1% to 3% [11] (S132).</p>"
S64,"<p>In Holistic Evaluation of Language Models (HELM) [12], the faithfulness of generated summaries is measured using Natural Language Inference (NLI) based SummaC [13] and QA-based QAFactEval [14] (S133). (See pages 23-24 HELM) (S134). SCADS 2023 researchers investigated SummaC for hallucination detection and deletion of extraneous summary sentences (S135). QAFactEval was also the focus of an initial study at SCADS 2022 (S136). For background references, a recent survey paper was published in the Transactions of the Association for Computational Linguistics [15], and see also the recent ACM Computing Survey on hallucination in natural language generation [16] (S137).</p>"
S66,<p>Question 2.4a How can we best adapt the tools from the HELM (Holistic Evaluation of Language Models) automatic evaluation to measure hallucination on our data at SCADS? Scope: medium-term   (S138).</p>
S68,"<p>Question 2.4b Can we employ characteristics of a data set, such as a fixed taxonomy or ontology, to support automated fact-checking of an automatically-generated summary? Scope: medium-term   (S139).</p>"
S69,"<p>RAG methods show promise for generating responses grounded in truth, as the prompt provided to the LLM is augmented with specific documents from the data store (S140). By directly providing segments of these documents to the user, we can provide more context for where summaries are drawing information from (S141). However, there may be some incorrect information provided by the LLM that misrepresents the data from the context (S142). Further investigation is needed to evaluate the potential for fact-checking and validation using these methods (S143).</p>"
S70,<p>Question 2.4c Can we use retrieval-augmented generation to fact-check abstractive or hybrid summaries? Scope: short-term (S144).</p>
S72,"<p>Another method of determining whether a summary properly reflects the documents at hand is via attribution (S145). Ideally, all sentences in a generated summary could be directly attributed to the segments of the original text being summarized (S146). During SCADS 2023, researchers conducted a human evaluation study to investigate using NLI and sentence embeddings to determine the attribution of specific summary sentences (S147). This method showed a lot of promise in determining the origin of summary sentences, and these methods could be extended to further prove whether a summary is properly attributable to the source documents (S148). Other research into attribution at SCADS 2023 demonstrated some of the potential pitfalls of attribution and demonstrated that an attribution method beyond linking the highest scoring sentences in the summary and source could yield improved results (S149). An investigation into other methods of determining attribution may yield methods that can relate specific facts and provide citations for the generated sentences in the summary (S150).</p>"
S74,<p>Question 2.4d How can attribution be used to prove a summary is grounded in source documents and does not contain hallucinations? Scope: medium-term  (S151).</p>
S76,"<p>Responses generated by RAG pipelines should also have demonstrable attribution, as context documents are used to directly enhance the context provided to the summarizer (S152). This could be carried out using the methods explored at SCADS 2023, or via prompt tuning (S153).</p>"
S77,<p>Question 2.4e How can a RAG solution leverage the returned context documents to provide justification and attribution for the resulting response? Scope: short-term  (S154).</p>
S78,<p>Related: Section 2.2  (S155).</p>
S80,<p>2.5 Human Evaluation  (S156).</p>
S81,"<p>Critical Challenge 2.E Develop an infrastructure to incorporate human evaluation of automatically generated summaries (S157). Scope: medium-term, Related: Section 4.4   (S158).</p>"
S82,"<p>Human evaluation of summaries can focus on various aspects of the summary, including content, accuracy, and readability (S159). Ideally, each of these quality aspects should be evaluated in a quantitative method (S160). Unfortunately, determining objective measures for aspects such as conciseness and interpretability can be difficult (S161). A method of combating this is through Automatic Content Units (ACUs), which can be used to identify only the most critical pieces of information in a document (S162). By ensuring that the generated summary includes these ACUs without containing excessive additional information, we can quantify how efficient the summary is without becoming difficult to interpret (S163). One such method defines a two-stage method using ACUs that provides automatic evaluation of summaries along these areas [17], with accompanying code available on Github10 (S164). However, combining this method with human evaluators would provide further insight into the quality of ACUs and the ease of interpretability of generated summaries (S165).</p>"
S83,<p>Question 2.5a How can a human-machine teaming approach be used to evaluate summaries? Scope: medium-term  (S166).</p>
S84,"<p>Next, we can investigate the content and accuracy of a summary (S167). Ideally, a summary should allow the user to learn some main facts about a document easily (S168). Given a collection of human-written summaries, the automatic systems QAFactEval could automatically generate questions and answer (Q&A) pairs (S169). These Q&A pairs could then be presented to the human evaluator to answer the yes or no question, “Does this summary correctly answer this question?” A separate evaluation of the Q&A pairs could be done to verify the accuracy of QAFactEval (S170). The Cyber Threat Intelligence (CTI) data set could be useful in experiments related to Q&A-based evaluations (S171).</p>"
S85,"<p>Question 2.5b Given a set of source documents and associated question-answer pairs, how do different summarization approaches compare on capturing relevant information in the summaries to answer the questions? Scope: short-term  (S172).</p>"
S86,"<p>An approach that looks quite viable was recently published [18] (S173). Here the authors automatically generate multiple-choice questions and answers, which are then used to evaluate the summary for content and factuality (S174). The code for this approach is available on GitHub11 (S175).</p>"
S87,"<p>Conceivably, human evaluators could also identify and classify hallucinations in abstract or hybrid summaries (S176). The aforementioned survey [16] provides more information (S177). Unfortunately, it is not a trivial evaluation task for human evaluators to read and comprehend source material, then one or more automatically generated summaries, and finally to identify and classify any hallucinations in the summaries (S178). The CTI data set could be useful for identifying hallucinations in abstractive or hybrid summaries of the source data and offer insight into the hallucination problem as it pertains to the TLDR application/user base (S179). Other suitable data sets might also exist (S180). The LAS-developed data labeling application Infinitypool could be particularly useful to facilitate necessary annotation required when conducting such an evaluation (S181).</p>"
S88,"<p>Chatbots built from Large Language Models (LLMs), such as ChatGPT, use reinforcement learning from human feedback (RLHF) to become proficient at responding to natural language prompts [19] (S182). A similar approach might be used to fine tune LLMs used for summarization (S183).</p>"
S89,<p>Question 2.5c Can we use reinforcement learning and human feedback to improve the performance of abstractive or hybrid summarization models?  (S184).</p>
S90,<p>Critical Challenge 2.F Design/execute an experiment to identify and classify hallucinations in automatically generated summaries (S185). Scope: short-term  (S186).</p>
S91,<p>2.6 Summarizing Non-Text Data (S187).</p>
S92,"<p>The eventual TLDR will need to summarize not just articles but also input from a variety of modalities (S188). Two modalities of interest are audio, and video content (S189).  Conversational Audio is an instance of the more general problem of dialogue summarization [20] [21] (S190). An audio conversation is likely to require different techniques than summarizing an article or similar document (S191). This is for a variety of reasons, including that a single transcription of an audio conversation could include many different topics (S192). It will also include more colloquial language than a prepared article (S193). Finally, there will be transcription errors due to both out-of-vocabulary words and also audio quality (S194). Work done at SCADS 2022 suggested that extractive summarization techniques may not be suitable for noisy transcripts (S195). Recent experiments at LAS with a large language model indicate slightly more promising results, though these experiments were extremely limited and results remained fairly poor, particularly on samples with poor audio quality (S196). Therefore, we propose the following questions on the topic of the summarization of audio (S197).</p>"
S93,"<p>Question 2.6a Could an abstractive or hybrid summarization system provide informative summaries of a transcription of a conversational audio file? Scope: medium-term, Related: Section 4.4   (S198).</p>"
S95,"<p>Question 2.6b What types of information should be included in a summary of an audio conversation? Scope: medium-term, Related: Section 4.4   (S199).</p>"
S97,"<p>With LLMs becoming more and more capable of handling multi-modal content, there is a lot of promise for summarizing video data (S200). Using methods to label objects in video frames, follow movement of objects, and other video processing techniques (S201). Utilizing annotations and change-tracking, knowledge graphs could be used in conjunction with LLMs to generate fluent summaries of videos for an analyst user (S202). While there are less identified datasets dedicated to video summarization as compared to text, there is a potential for utilizing open source videos or creating data at SCADS 2024 using new technology such as VideoGPT [22] (S203).</p>"
S99,<p>Question 2.6c Could an abstractive or hybrid summarization system provide informative summaries of a video? Scope: medium-term  (S204).</p>
S101,<p>Question 2.6d What datasets could we find or generate to create and evaluate video summarization methods? Scope: short-term  (S205).</p>
S102,"<p>Image data, whether from video stills, photographs, or drawings, is also a candidate for multi-modal summarization methods: (S206).</p>"
S103,"<p>Question 2.6e Can a model effectively summarize an image, such as a network diagram? Scope: medium term (S207).</p>"
S104,<p>Question 2.6f Can insights provided by graphic content be effectively summarized and delivered in natural language text? Scope: short-term (S208).</p>
S105,"<p>Question 2.6g How does the use of associated natural language text (e.g (S209). notations on a drawing, a sign in a photo) improve the extraction of insights from graphic content? Scope: short to medium-term, Related: Section 4.4 (S210).</p>"
S106,"<p>Question 2.6h Does use of multimodal summarization models, particularly graphic content alongside natural language text, improve the perceived quality of summaries for specialized knowledge workers? To what degree does the use of graphic content change the summarization? Scope: short-term (S211).</p>"
S107,"<p>Finally, while communications data such as network packets can technically be viewed as text, especially using tools like Wireshark, tracing that traffic is an intensive process (S212). Similarly, while tools such as Ghidra exist to reverse-engineer the code behind a computer executable, that code is rarely in an easily understandable format (S213). A model that can summarize this information would be valuable to analysts well beyond the IC. (S214).</p>"
S108,"<p>Question 2.6i Given a packet capture file print out, can a LLM summarize the network interactions? Scope: short to medium-term (S215).</p>"
S109,"<p>Question 2.6j Given the source code of a program, can an LLM explain what the program does? (S216).</p>"
S110,"<p>Question 2.9b Given the disassembler output of an unknown program, can a LLM explain what it does?  (S217).</p>"
S111,<p>2.7 Data  (S218).</p>
S112,<p>DUC 2001-2007 and TAC 2008-2011 datasets (S219).</p>
S113,"<p>CrisisFACTS – These data were created for a task at TREC 2022 (S220). The main task is to retrieve relevant passages from documents to support relief during a FEMA emergency (S221). Relevant passages, i.e., extract summaries, are available (S222).</p>"
S114,<p>SummaC – Code with benchmarks are in https://github.com/tingofurro/summac. (S223).</p>
S115,<p>XSUM (Short one-sentence abstractive summaries) available via https://huggingface.co/ datasets/xsum (S224).</p>
S116,"<p>xsum-hallucination-annotations – This dataset contains faithfulness and factuality annotations of highly abstractive summaries for the XSUM dataset [23] (S225). Abstractive summaries were generated using 5 systems: PTGEN, TCONVS2S, GPT-TUNED, TRANS2S and BERTS2S (S226). Raters were shown the news article and the system summary, and were tasked with identifying and annotating spans that weren’t supported by the input article (S227). Three judgements were crowd sourced for each of 500 x 5 document-system pairs., (S228).</p>"
S117,"<p>NewsQA – This is a question answering scenario with factual questions for news articles [24] (S229). The dataset contains 12,744 CNN news articles and 119,633 question-answer pairs (S230). Questions were written by humans who only saw headlines and article highlights (S231). Answers were written by humans who only saw the questions and the entire article, and selected a span of text or “No Answer” if the question was not answerable., (S232).</p>"
S118,"<p>NaturalQuestions – This is a question answering scenario with naturally occurring questions [25] (S233). Questions were real questions issued to the Google search engine (S234). A human annotator was presented with a question and a related Wikipedia page, and selected a long answer (typically a paragraph) and a short answer if present, or null if no long/short answer was available (S235). The public release of the dataset consists of 307,373 training examples with single annotations; 7,830 examples with 5-way annotations for development data; and a further 7,842 examples with 5-way annotations sequestered as test data (S236). This is best understood by looking at an example at https://ai.google.com/research/NaturalQuestions/visualization (S237). The question, “when are hops added to the brewing process?” is accompanied by the Brewing Wikipedia page (S238). The long answer is, “After mashing, the beer wort is boiled with hops...” The short answer is, “The boiling process”., (S239).</p>"
S119,"<p>NarrativeQA – This is a question answering scenario with long documents and summaries collected from books and movie scripts [26] (S240). Books were obtained from Project Gutenberg and scripts were scraped from the web (S241). Question answer pairs were generated by humans using human written plot summaries from Wikipedia (S242). The dataset has 1,567 stories (books or movie scripts), and 46765 question answer pairs.,  (S243).</p>"
S120,"<p>CNN/DailyMail – The CNN/DM dataset is an English-language corpus containing just over 300k unique news articles as written by journalists at CNN and the United Kingdom’s Daily Mail (Hermann et al., 2015; Huggingface.co, 2020) (S244). The CNN articles were written between 2007 and 2015 while the Daily Mail articles were written between 2010 and 2015.[27]  (S245).</p>"
S121,"<p>Cyber Threat Intelligence data: Consists of cyber threat intelligence information in spreadsheets and plaintext, with supporting documents and associated question-answer pairs (S246).</p>"
S122,"<p>Zendia Synthetic Dataset – Generated during SCADS 2023, this dataset contains roughly 5000 reports generated with GPT 3.5 turbo and GPT 4 (S247). It follows a fictional conflict, and has reports addressing a variety of events during this fictional situation (S248).</p>"
S123,"<p>MS MARCO v2 Passage Ranking – Created by Microsoft, contains 8.8 million passages with the objective to rank them based on relevance to a given question [28] (S249). Will be used to evaluate the TREC 2024 RAG track, supplemented with some additional ‘hard’ questions (S250). Standard MS MARCO dataset is available from Microsoft or Huggingface Datasets, supplemental TREC data will be available as well (S251).</p>"
S124,"<p>NeuCLIR1 - Created for the TREC 2022 NeuCLIR Track, this will also be used for the 2024 NeuCLIR track as well (S252). Contains web pages from Common Crawl in Chinese, Persian, and Russian (S253). Available through Huggingface Datasets (S254).</p>"
S126,<p>References  (S255).</p>
S127,"<p>[1] White, C.T.; Molino, N.P.; Yang, J.S.; Conroy, J.M (S256). occams: A Text Summarization Package (S257). Analytics 2023, 2, 546-559 (S258).</p>"
S128,"<p>[2] M (S259). Gambhir and V (S260). Gupta, “Recent automatic text summarization techniques: A survey,” Artif (S261). Intell (S262). Rev., vol (S263). 47, no (S264). 1, pp (S265). 1–66, Jan (S266). 2017, issn: 0269-2821 (S267). doi: 10.1007/s10462-016-9475-9 (S268). [Online] (S269). Available:  (S270).</p>"
S129,"<p>[3] W (S271). S (S272). El-Kassas, C (S273). R (S274). Salama, A (S275). A (S276). Rafea, and H (S277). K (S278). Mohamed, “Automatic text summarization: A comprehensive survey,” Expert Systems with Applications, vol (S279). 165, p (S280). 113 679, 2021, issn: 0957-4174 (S281). doi: https://doi.org/10.1016/j.eswa.2020.113679 (S282). [Online] (S283). Available:  (S284).</p>"
S130,"<p>[4] J (S285). Devlin, M.-W (S286). Chang, K (S287). Lee, and K (S288). Toutanova, “BERT: Pre-training of deep bidirectional transformers for language understanding,” in Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers), Minneapolis, Minnesota: Association for Computational Linguistics, Jun (S289). 2019, pp (S290). 4171–4186 (S291). doi: 10.18653/v1/N19-1423 (S292). [Online] (S293). Available:  (S294).</p>"
S131,"<p>[5] Lewis, P., et al (S295). (2020) (S296). Retrieval-augmented generation for knowledge-intensive NLP tasks (S297). Advances in Neural Information Processing Systems, 33, 9459–9474 (S298).</p>"
S132,"<p>[6] Monigatti, Leonie (S299). Retrieval-Augmented Generation Workflow (S300). 14 Nov (S301). 2024 (S302). Towards Data Science, https://towardsdatascience.com/retrieval-augmented-generation-rag-from-theory-to-langchain-implementation-4e9bd5f6a4f2 (S303). Accessed 14 Mar (S304). 2024 (S305).</p>"
S133,"<p>[7] Kurt Shuster, Spencer Poff, Moya Chen, Douwe Kiela, and Jason Weston (S306). 2021 (S307). Retrieval augmentation reduces hallucination in conversation (S308). arXiv preprint arXiv:2104.07567  (S309).</p>"
S134,<p>[8] Anoushka Gade and Jorjeta Jetcheva (S310). 2024 (S311). It’s About Time: Incorporating Temporality in Retrieval Augmented Language Models (S312). ArXiv preprint arXiv:2401.13222  (S313).</p>
S135,"<p>[9] J (S314). Steinberger, M (S315). Poesio, M (S316). A (S317). Kabadjov, and K (S318). Ježek, “Two uses of anaphora resolution in summarization,” Information Processing and Management, vol (S319). 43, no (S320). 6, pp (S321). 1663–1680, 2007, Text Summarization, issn: 0306-4573 (S322). doi: https://doi.org/10.1016/j.ipm.200.01.010 (S323). [Online] (S324). Available:  (S325).</p>"
S136,"<p>[10] L (S326). Ouyang, J (S327). Wu, X (S328). Jiang, et al., “Training language models to follow instructions with human feedback,” arXiv e-prints, arXiv:2203.02155, arXiv:2203.02155, Mar (S329). 2022 (S330). doi: 10.48550/ arXiv.2203.02155 (S331). arXiv: 2203.02155 [cs.CL] (S332).</p>"
S137,"<p>[11] T (S333). Zhang, F (S334). Ladhak, E (S335). Durmus, P (S336). Liang, K (S337). McKeown, and T (S338). B (S339). Hashimoto, Benchmarking large language models for news summarization, 2023 (S340). doi: 10.48550/ARXIV.2301.13848 (S341). [Online] (S342). Available:  (S343).</p>"
S138,"<p>[12] P (S344). Liang, R (S345). Bommasani, T (S346). Lee, et al., Holistic evaluation of language models, 2022 (S347). doi: 10 (S348). 48550/ARXIV.2211.09110 (S349). [Online] (S350). Available:  (S351).</p>"
S139,"<p>[13] P (S352). Laban, T (S353). Schnabel, P (S354). N (S355). Bennett, and M (S356). A (S357). Hearst, “SummaC: Re-Visiting NLI-based Models for Inconsistency Detection in Summarization,” Transactions of the Association for Computational Linguistics, vol (S358). 10, pp (S359). 163–177, Feb (S360). 2022, issn: 2307-387X (S361). doi: 10.1162/tacl_a_00453 (S362). eprint: https://direct.mit.edu/tacl/article-pdf/doi/10.1162/tacl\_a\ _00453/1987014/tacl\_a\_00453.pdf (S363). [Online] (S364). Available:  (S365).</p>"
